Countrycode	Timezone	Namespace	AirQualityNetwork	AirQualityStation	AirQualityStationEoICode	AirQualityStationNatCode	SamplingPoint	SamplingProcess	Sample	AirPollutant	AirPollutantCode	ObservationDateBegin	ObservationDateEnd	Projection	Longitude	Latitude	Altitude	MeasurementType	AirQualityStationType	AirQualityStationArea	EquivalenceDemonstrated	MeasurementEquipment	InletHeight	BuildingDistance	KerbDistance
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGBB15	BEGBB15	26BB15	SPO-BEGBB15_06001_100	SPP-BEGBB15_06001_1	SAM-BEGBB15_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	3.23406610187119	51.2134632158996	5	automatic	background	urban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGR701	BEGR701	26R701	SPO-BEGR701_06001_100	SPP-BEGR701_06001_1	SAM-BEGR701_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	3.72929817169059	51.0583317166618	5	automatic	background	urban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGR801	BEGR801	26R801	SPO-BEGR801_06001_100	SPP-BEGR801_06001_1	SAM-BEGR801_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	4.43182104696884	51.2096625313066	6	automatic	background	urban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGR811	BEGR811	26R811	SPO-BEGR811_06001_100	SPP-BEGR811_06001_1	SAM-BEGR811_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	4.49136202793544	51.2521034122412	8	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BEGRT01	BEGRT01	26RT01	SPO-BEGRT01_06001_100	SPP-BEGRT01_06001_1	SAM-BEGRT01_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2009-01-01 00:00:00.0000000		EPSG:4979	5.05330329126734	51.2308576111195	23	automatic	background	rural	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAB02	BELAB02	40AB02	SPO-BELAB02_00005_100	SPP-BELAB02_00005_2	SAM-BELAB02_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2009-01-01 00:00:00.0000000		EPSG:4979	4.32182021475228	51.340727492302	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAB02	BELAB02	40AB02	SPO-BELAB02_06001_100	SPP-BELAB02_06001_1	SAM-BELAB02_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-10-20 00:00:00.0000000		EPSG:4979	4.32182021475228	51.340727492302	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL01	BELAL01	40AL01	SPO-BELAL01_00005_100	SPP-BELAL01_00005_2	SAM-BELAL01_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2009-01-01 00:00:00.0000000		EPSG:4979	4.38522368445472	51.236194200299	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL01	BELAL01	40AL01	SPO-BELAL01_00008_100	SPP-BELAL01_00008_1	SAM-BELAL01_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2013-06-25 00:00:00.0000000		EPSG:4979	4.38522368445472	51.236194200299	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL01	BELAL01	40AL01	SPO-BELAL01_06001_100	SPP-BELAL01_06001_1	SAM-BELAL01_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-06-12 00:00:00.0000000		EPSG:4979	4.38522368445472	51.236194200299	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL03	BELAL03	40AL03	SPO-BELAL03_06001_100	SPP-BELAL03_06001_1	SAM-BELAL03_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2008-06-01 00:00:00.0000000		EPSG:4979	4.20146039512657	51.2539648810663	4	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELAL05	BELAL05	40AL05	SPO-BELAL05_00005_100	SPP-BELAL05_00005_1	SAM-BELAL05_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2011-01-01 00:00:00.0000000		EPSG:4979	4.27888982166783	51.2631177172701	8	automatic	industrial	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELBE06	BELBE06	40BE06	SPO-BELBE06_00001_100	SPP-BELBE06_00001_1	SAM-BELBE06_00001	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	2001-06-01 00:00:00.0000000	2014-01-02 00:00:00.0000000	EPSG:4979	4.81937173138705	51.3289029167454	30	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELGK06	BELGK06	40GK06	SPO-BELGK06_00005_100	SPP-BELGK06_00005_2	SAM-BELGK06_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2009-01-01 00:00:00.0000000		EPSG:4979	5.47062003748762	50.9278918436631	44	automatic	industrial	urban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELGK06	BELGK06	40GK06	SPO-BELGK06_06001_100	SPP-BELGK06_06001_1	SAM-BELGK06_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-10-20 00:00:00.0000000		EPSG:4979	5.47062003748762	50.9278918436631	44	automatic	industrial	urban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELHB23	BELHB23	40HB23	SPO-BELHB23_00001_100	SPP-BELHB23_00001_1	SAM-BELHB23_00001	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	2003-05-01 00:00:00.0000000		EPSG:4979	4.34100506456284	51.1702980388321	13	automatic	background	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELHB23	BELHB23	40HB23	SPO-BELHB23_00005_100	SPP-BELHB23_00005_2	SAM-BELHB23_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2006-08-17 00:00:00.0000000		EPSG:4979	4.34100506456284	51.1702980388321	13	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELHB23	BELHB23	40HB23	SPO-BELHB23_00008_100	SPP-BELHB23_00008_1	SAM-BELHB23_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2003-05-01 00:00:00.0000000		EPSG:4979	4.34100506456284	51.1702980388321	13	automatic	background	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELHB23	BELHB23	40HB23	SPO-BELHB23_06001_100	SPP-BELHB23_06001_1	SAM-BELHB23_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-10-19 00:00:00.0000000		EPSG:4979	4.34100506456284	51.1702980388321	13	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLD01	BELLD01	40LD01	SPO-BELLD01_00008_100	SPP-BELLD01_00008_1	SAM-BELLD01_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2000-06-27 00:00:00.0000000		EPSG:4979	5.00486439358777	51.1099761208639	20	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLD01	BELLD01	40LD01	SPO-BELLD01_00020_100	SPP-BELLD01_00020_3	SAM-BELLD01_00020	C6H6	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	2008-09-01 00:00:00.0000000		EPSG:4979	5.00486439358777	51.1099761208639	20	automatic	industrial	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLD02	BELLD02	40LD02	SPO-BELLD02_00008_100	SPP-BELLD02_00008_1	SAM-BELLD02_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	2003-01-01 00:00:00.0000000		EPSG:4979	5.02154597760984	51.1203841374963	22	automatic	background	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLD02	BELLD02	40LD02	SPO-BELLD02_00020_100	SPP-BELLD02_00020_1	SAM-BELLD02_00020	C6H6	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20	2003-01-01 00:00:00.0000000		EPSG:4979	5.02154597760984	51.1203841374963	22	automatic	background	suburban	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELLM05	BELLM05	40LM05	SPO-BELLM05_00001_100	SPP-BELLM05_00001_1	SAM-BELLM05_00001	SO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1	2014-01-29 00:00:00.0000000		EPSG:4979	5.25811076172165	51.2151470329576	2	automatic	background	rural	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELMN01	BELMN01	40MN01	SPO-BELMN01_00005_100	SPP-BELMN01_00005_2	SAM-BELMN01_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2009-01-01 00:00:00.0000000		EPSG:4979	3.10964187449867	50.7934690447113	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELMN01	BELMN01	40MN01	SPO-BELMN01_06001_100	SPP-BELMN01_06001_2	SAM-BELMN01_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-11-20 00:00:00.0000000		EPSG:4979	3.10964187449867	50.7934690447113	10	automatic	background	suburban	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELOB01	BELOB01	40OB01	SPO-BELOB01_00005_100	SPP-BELOB01_00005_6	SAM-BELOB01_00005	PM10	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5	2008-09-13 00:00:00.0000000		EPSG:4979	3.30738579933576	50.9172284414243	44	automatic	industrial	rural	ref		2	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELOB01	BELOB01	40OB01	SPO-BELOB01_00008_100	SPP-BELOB01_00008_1	SAM-BELOB01_00008	NO2	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8	1993-06-01 00:00:00.0000000	2014-01-01 00:00:00.0000000	EPSG:4979	3.30738579933576	50.9172284414243	44	automatic	industrial	rural	ref		3	-999	-999
BE	http://dd.eionet.europa.eu/vocabulary/aq/timezone/UTC	BE.CELINE-IRCEL.AQ	NET-Flanders	STA-BELOB01	BELOB01	40OB01	SPO-BELOB01_06001_100	SPP-BELOB01_06001_1	SAM-BELOB01_06001	PM2.5	http://dd.eionet.europa.eu/vocabulary/aq/pollutant/6001	2014-11-21 00:00:00.0000000		EPSG:4979	3.30738579933576	50.9172284414243	44	automatic	industrial	rural	ref		2	-999	-999
